population,lat,lon
1461,-12.33002618,-76.82652389
3558,-12.31188745,-76.83559098
1768,-12.30272488,-76.8539118
6137,-12.30278706,-76.84472002
8452,-12.29368645,-76.85384843
1416,-12.28458561,-76.86297621
1963,-12.28464801,-76.85378511
10039,-12.27548456,-76.87210337
4149,-12.26644621,-76.87203953
1870,-12.26650882,-76.8628491
1016,-12.25709042,-76.91792554
1563,-12.2572818,-76.89035581
2623,-12.25734497,-76.88116579
2120,-12.25740785,-76.87197573
3186,-12.24798793,-76.92704973
5925,-12.24805229,-76.91786024
2573,-12.24818009,-76.89948109
2642,-12.24824353,-76.89029144
3445,-12.24830666,-76.88110174
5774,-12.23894985,-76.92698416
7648,-12.23907816,-76.90860575
2298,-12.22971713,-76.95448495
9489,-12.22978232,-76.94529624
6887,-12.22991176,-76.92691865
6820,-12.22997602,-76.91772978
7112,-12.23003998,-76.90854086
3161,-12.23010362,-76.89935188
1000,-12.23041726,-76.85340625
1423,-12.22061375,-76.96360691
8544,-12.22080915,-76.9360417
9710,-12.22087366,-76.92685319
9794,-12.22093788,-76.91766463
7737,-12.22100178,-76.90847602
3858,-12.22106538,-76.89928735
1787,-12.21124431,-77.00947965
1281,-12.21131123,-77.00029188
8310,-12.21170632,-76.94516412
17122,-12.21189973,-76.91759953
5649,-12.21196358,-76.90841123
4822,-12.21202714,-76.89922288
1432,-12.202072,-77.02778625
1908,-12.20213948,-77.0185989
5074,-12.20220665,-77.00941149
6629,-12.20227352,-77.00022403
5157,-12.20234008,-76.99103651
7213,-12.20247229,-76.97266132
5237,-12.20253794,-76.96347365
7777,-12.20260327,-76.95428592
8565,-12.20266831,-76.94509814
14405,-12.20279746,-76.92672242
1154,-12.20317755,-76.87159403
1695,-12.19303443,-77.02771753
3442,-12.19310186,-77.01853048
8078,-12.19316899,-77.00934339
13900,-12.19323581,-77.00015624
10863,-12.19330232,-76.99096903
12075,-12.19336852,-76.98178177
9118,-12.19343442,-76.97259446
12663,-12.19350002,-76.9634071
15112,-12.19356531,-76.95421968
14258,-12.19369497,-76.93584469
22454,-12.19375934,-76.92665711
1010,-12.19413915,-76.87153059
5380,-12.18406425,-77.01846212
11649,-12.18413132,-77.00927534
12658,-12.18419808,-77.0000885
8879,-12.18426455,-76.9909016
11169,-12.1843307,-76.98171466
16410,-12.1844621,-76.9633406
24304,-12.18452734,-76.95415349
16107,-12.18459227,-76.94496633
25758,-12.1846569,-76.93577912
29642,-12.18472122,-76.92659186
15128,-12.18478524,-76.91740454
6530,-12.17495929,-77.02758024
22488,-12.17502662,-77.01839382
10419,-12.17509364,-77.00920734
9873,-12.17516036,-77.00002081
9905,-12.17522677,-76.99083423
14862,-12.17529287,-76.98164759
16979,-12.17535867,-76.9724609
20586,-12.17542417,-76.96327416
21984,-12.17548936,-76.95408736
19357,-12.17555424,-76.94490051
23769,-12.17561882,-76.93571361
18546,-12.17568309,-76.92652666
3270,-12.17574706,-76.91733965
8783,-12.16592171,-77.02751168
28732,-12.16598899,-77.01832557
13553,-12.16618898,-76.99076691
18368,-12.16638623,-76.96320777
12186,-12.16645137,-76.95402128
11504,-12.16651621,-76.94483474
13207,-12.16658074,-76.93564815
6346,-12.16664496,-76.92646151
4201,-12.16670888,-76.91727481
9509,-12.15695135,-77.01825737
5686,-12.15701827,-77.00907151
10402,-12.15715119,-76.99069964
22781,-12.1572172,-76.98151362
22378,-12.1572829,-76.97232755
11159,-12.15741338,-76.95395525
11234,-12.15747817,-76.94476902
7863,-12.15754265,-76.93558274
1486,-12.15767069,-76.91721002
17390,-12.14791371,-77.01818923
14954,-12.14798058,-77.00900368
14686,-12.14804714,-76.99981808
8934,-12.1481134,-76.99063243
14555,-12.14817935,-76.98144672
17273,-12.148245,-76.97226096
12936,-12.14831034,-76.96307514
11283,-12.14837538,-76.95388928
11285,-12.14844012,-76.94470336
10763,-12.14850455,-76.93551739
3626,-12.14856868,-76.92633136
11049,-12.13880894,-77.02730632
23788,-12.13887606,-77.01812114
10342,-12.13907559,-76.99056527
11308,-12.1392071,-76.97219442
11578,-12.13927239,-76.96300891
11285,-12.13933738,-76.95382336
11285,-12.13940207,-76.94463775
10807,-12.13946645,-76.93545208
13897,-12.12970396,-77.0364228
34111,-12.12977133,-77.02723798
32535,-12.1298384,-77.0180531
17126,-12.12997163,-76.9996832
11097,-12.13003779,-76.99049816
5875,-12.13010364,-76.98131307
7481,-12.13016919,-76.97212793
8652,-12.13023443,-76.96294273
11287,-12.13036401,-76.94457219
6194,-12.13042834,-76.93538683
13701,-12.12059878,-77.04553866
27357,-12.1206664,-77.0363542
36397,-12.12073372,-77.02716969
28248,-12.12080074,-77.01798513
23013,-12.12086745,-77.00880051
17223,-12.12093386,-76.99961583
12435,-12.12099997,-76.99043111
11112,-12.12106577,-76.98124633
11115,-12.12113127,-76.97206149
11062,-12.12126136,-76.95369167
3093,-12.12139023,-76.93532163
1656,-12.12183169,-76.87102489
10231,-12.11149338,-77.0546539
15391,-12.11156126,-77.04546981
17153,-12.11162884,-77.03628566
22618,-12.11169611,-77.02710146
17507,-12.11176307,-77.0179172
16249,-12.11182973,-77.00873289
11374,-12.11189609,-76.99954853
11174,-12.11196215,-76.99036411
12761,-12.1120279,-76.98117964
13772,-12.11209335,-76.97199511
9426,-12.11222333,-76.95362591
5369,-12.11228787,-76.94444122
4542,-12.1123521,-76.93525649
2244,-12.11285504,-76.86177676
8750,-12.10231936,-77.07295219
15249,-12.10238779,-77.06376852
25801,-12.10245592,-77.05458479
30044,-12.10252374,-77.04540101
29498,-12.10259126,-77.03621717
18539,-12.10265848,-77.02703328
18667,-12.1027254,-77.01784933
20304,-12.10279201,-77.00866533
15466,-12.10285832,-76.99948127
14396,-12.10292432,-76.99029716
11423,-12.10299002,-76.981113
14303,-12.10305542,-76.97192879
12253,-12.10312051,-76.96274452
6786,-12.10318531,-76.95356019
4903,-12.10324979,-76.94437582
5675,-12.10331398,-76.93519139
1979,-12.10369271,-76.88008375
2959,-12.10375477,-76.87089897
1865,-12.10381652,-76.86171413
10445,-12.09321331,-77.08206584
22732,-12.09328199,-77.07288253
20840,-12.09335037,-77.06369917
29853,-12.09341844,-77.05451575
34690,-12.09355369,-77.03614874
16029,-12.09362085,-77.02696516
15747,-12.09368772,-77.01778152
17684,-12.09375428,-77.00859782
15843,-12.09382053,-76.99941407
14726,-12.09388649,-76.99023027
11722,-12.09395214,-76.98104642
14552,-12.09401749,-76.97186251
10010,-12.09414727,-76.95349454
8491,-12.09421171,-76.94431047
8497,-12.09427584,-76.93512635
5209,-12.09433967,-76.92594218
1469,-12.09459197,-76.88920499
1689,-12.09465428,-76.88002056
7609,-12.08410705,-77.09117887
13644,-12.08417598,-77.08199592
22173,-12.08424461,-77.07281292
24324,-12.08431294,-77.06362986
24411,-12.08438096,-77.05444675
24593,-12.08444868,-77.04526359
24274,-12.0845161,-77.03608036
20804,-12.08458322,-77.02689709
20867,-12.08465003,-77.01771375
21658,-12.08471654,-77.00853037
21764,-12.08478274,-76.99934693
12058,-12.08484865,-76.99016344
11552,-12.08491425,-76.98097989
11024,-12.08497954,-76.97179629
9038,-12.08510923,-76.95342893
7364,-12.08517362,-76.94424517
6253,-12.0852377,-76.93506136
4555,-12.08530149,-76.9258775
4221,-12.08536497,-76.91669359
3437,-12.08542814,-76.90750962
2209,-12.08549102,-76.8983256
1180,-12.08555359,-76.88914154
1310,-12.08567782,-76.87077325
1044,-12.07450785,-77.16456776
15692,-12.07486132,-77.11865627
16347,-12.07493111,-77.10947381
9984,-12.07500059,-77.10029128
10046,-12.07506978,-77.0911087
10355,-12.07513865,-77.08192606
14179,-12.07520723,-77.07274337
21747,-12.0752755,-77.06356062
24441,-12.07534348,-77.05437782
24466,-12.07541114,-77.04519496
36749,-12.07547851,-77.03601204
25241,-12.07554557,-77.02682907
24559,-12.07561233,-77.01764605
25451,-12.07567879,-77.00846297
24922,-12.07574495,-76.99927984
17228,-12.0758108,-76.99009665
16550,-12.07587635,-76.98091341
11023,-12.0759416,-76.97173012
9798,-12.07600654,-76.96254678
7486,-12.07607118,-76.95336338
3840,-12.07619956,-76.93499642
1570,-12.07626329,-76.92581287
1906,-12.07632672,-76.91662926
3290,-12.07638985,-76.90744561
2056,-12.07645267,-76.8982619
1154,-12.06554224,-77.15531331
14195,-12.06561319,-77.14613138
23278,-12.06568383,-77.13694939
17001,-12.06575416,-77.12776734
19285,-12.0658242,-77.11858524
19825,-12.06589393,-77.10940308
21618,-12.06596336,-77.10022086
18243,-12.06603249,-77.09103859
17131,-12.06616984,-77.07267387
22915,-12.06623806,-77.06349143
24427,-12.06630598,-77.05430893
24595,-12.0663736,-77.04512638
45648,-12.06644091,-77.03594377
25535,-12.06650793,-77.02676111
24616,-12.06657463,-77.0175784
23154,-12.06664104,-77.00839563
17668,-12.06670715,-76.9992128
19132,-12.06677295,-76.99002992
21097,-12.06683845,-76.98084699
17476,-12.06690364,-76.97166401
14212,-12.06696854,-76.96248097
9429,-12.06703313,-76.95329788
8460,-12.06709742,-76.94411473
4775,-12.06716141,-76.93493154
8848,-12.05657622,-77.14605948
24547,-12.05664681,-77.1368778
22327,-12.05671709,-77.12769606
22205,-12.05678707,-77.11851427
22910,-12.05685675,-77.10933241
26421,-12.05692613,-77.1001505
23464,-12.0569952,-77.09096853
22727,-12.05706398,-77.08178651
22964,-12.05713245,-77.07260443
24449,-12.05720062,-77.0634223
24523,-12.05726848,-77.05424011
24762,-12.05733605,-77.04505786
32536,-12.05740331,-77.03587556
27214,-12.05747027,-77.02669321
26848,-12.05753693,-77.0175108
32943,-12.05760328,-77.00832833
12166,-12.05766934,-76.99914582
11636,-12.05773509,-76.98996325
11103,-12.05780054,-76.98078062
19524,-12.05786568,-76.97159794
18540,-12.05793053,-76.96241521
11193,-12.05799507,-76.95323243
10171,-12.05805931,-76.94404959
5318,-12.05812325,-76.93486671
14021,-12.04760978,-77.13680627
20556,-12.04768001,-77.12762484
20531,-12.04781956,-77.1092618
15242,-12.04788889,-77.1000802
18612,-12.04795791,-77.09089854
24834,-12.04802663,-77.08171682
24373,-12.04809505,-77.07253505
24623,-12.04816316,-77.06335322
24659,-12.04823098,-77.05417134
24484,-12.04829849,-77.0449894
26637,-12.0483657,-77.0358074
23997,-12.04843261,-77.02662536
24392,-12.04849922,-77.01744325
32225,-12.04856552,-77.0082611
17329,-12.04863152,-76.99907889
7589,-12.04869722,-76.98989662
9708,-12.04876262,-76.98071431
20690,-12.04882772,-76.97153194
21753,-12.04889251,-76.96234951
22506,-12.048957,-76.95316704
11725,-12.04902119,-76.94398451
8138,-12.04908508,-76.93480193
5643,-12.04914867,-76.92561929
3089,-12.04921195,-76.91643661
8413,-12.03864292,-77.12755367
7068,-12.03885164,-77.10000995
20838,-12.03898928,-77.08164718
24038,-12.03905764,-77.07246572
24386,-12.03912571,-77.0632842
23233,-12.03919347,-77.05410262
26176,-12.03926093,-77.04492099
19797,-12.03932809,-77.0357393
25082,-12.03939494,-77.02655756
13514,-12.0394615,-77.01737577
28199,-12.03952775,-77.00819392
25766,-12.0395937,-76.99901201
21138,-12.03965935,-76.98983005
13508,-12.0397247,-76.98064804
13848,-12.03978975,-76.97146598
21694,-12.03985449,-76.96228386
9829,-12.04004691,-76.9347372
10444,-12.04011045,-76.92555487
7761,-12.04017368,-76.91637249
2491,-12.02960583,-77.12748256
11645,-12.02981439,-77.09993976
35330,-12.02995192,-77.0815776
36556,-12.03002023,-77.07239645
37734,-12.03008824,-77.06321523
34274,-12.03015595,-77.05403396
28968,-12.03022336,-77.04485264
18692,-12.03029046,-77.03567126
27092,-12.03035727,-77.02648982
8693,-12.03042377,-77.01730833
26287,-12.03048997,-77.00812679
26923,-12.03055588,-76.99894519
28202,-12.03062147,-76.98976354
9688,-12.03081646,-76.96221827
10451,-12.03088085,-76.9530364
10233,-12.03100874,-76.93467252
9666,-12.03107222,-76.9254905
5772,-12.03126088,-76.89794413
7398,-12.03132316,-76.88876191
3267,-12.02049867,-77.13659202
3557,-12.02056873,-77.1274115
10162,-12.02077713,-77.09986962
23893,-12.02084599,-77.09068888
24176,-12.02091455,-77.08150808
22398,-12.02098281,-77.07232723
19175,-12.02105077,-77.06314632
32361,-12.02111843,-77.05396536
12111,-12.02131959,-77.02642213
5537,-12.02138604,-77.01724095
25382,-12.02145219,-77.00805971
23697,-12.02151804,-76.99887842
20326,-12.02158359,-76.98969708
10419,-12.02164884,-76.98051568
7698,-12.02171378,-76.97133423
13152,-12.02177843,-76.96215272
13562,-12.02184277,-76.95297117
5714,-12.02197055,-76.9346079
3219,-12.02203399,-76.92542618
1929,-12.02209713,-76.91624442
5374,-12.02215996,-76.9070626
11562,-12.0222225,-76.89788073
12221,-12.02228473,-76.88869881
6471,-12.02234666,-76.87951685
1670,-12.0224083,-76.87033483
6015,-12.01167075,-77.10897992
11892,-12.01173986,-77.09979954
16019,-12.01180867,-77.09061911
16062,-12.01187718,-77.08143861
15452,-12.01194538,-77.07225807
8440,-12.01201329,-77.06307746
15248,-12.0120809,-77.05389681
7799,-12.0121482,-77.04471609
7113,-12.0122152,-77.03553533
5630,-12.0122819,-77.0263545
7338,-12.0123483,-77.01717363
25382,-12.0124144,-77.00799269
22561,-12.0124802,-76.99881171
16925,-12.0125457,-76.98963067
14704,-12.0126109,-76.98044958
8576,-12.01267579,-76.97126843
13678,-12.01274039,-76.96208723
6368,-12.01286867,-76.94372468
4241,-12.01293236,-76.93454332
2837,-12.01312163,-76.90699895
3955,-12.01318412,-76.89781739
3900,-12.0132463,-76.88863577
3144,-12.01330818,-76.87945411
2843,-12.01336977,-76.8702724
